exportador_anon;cnpj_anon;porte_do_exportador;descricao_da_operacao;uf;pais_destino_das_exportacoes;numero_da_operacao_anon;data_da_contratacao;moeda_sigla;fonte_de_recursos_desembolsos;custo_financeiro;setor_subsetor_de_atividade;area_operacional;modalidade_de_apoio;forma_de_apoio;produto;modalidade_operacional;mutuario;categoria;situacao_da_operacao;tipo_de_garantia
Exportador_1;ca525e7a49e512c307fee61f4254efeb5883115cff255e203525a54b3946e365;GRANDE;Exportação de bens;RS;BOLIVIA;08XXX84;2002-01-04;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Seguro de crédito/FGE / Pessoal
Exportador_2;95b5009c8e589e50fcd40abe21265171f0b46c17fc8be4d0ecffdfe104d6c4f8;GRANDE;Exportação de bens;SP;ARGENTINA;09XXX49;2002-01-08;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_2;95b5009c8e589e50fcd40abe21265171f0b46c17fc8be4d0ecffdfe104d6c4f8;GRANDE;Exportação de bens;SP;ARGENTINA;09XXX50;2002-01-08;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_3;13324c38e553836e3228fa6dbf84570917174c054e0fb9ca9af7f4091390e88e;GRANDE;Exportação de bens;SC;ESTADOS UNIDOS;07XXX09;2002-01-08;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/METALURGIA;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_4;61160e39714e2f1dbb63e0d278f6c086cd5a9e2e6f9849a4dbacd037ae672384;GRANDE;Exportação de bens;PR;ARGENTINA;08XXX20;2002-01-08;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Seguro de crédito/FGE / Pessoal
Exportador_5;9fb5767ecea2547cedbaf2bff4b9fe3a0319d8fc8e68cb90feceb0cd8e84f7dd;GRANDE;Exportação de bens;PR;ARGENTINA;09XXX48;2002-01-09;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/METALURGIA;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;CCR / ALADI
Exportador_5;9fb5767ecea2547cedbaf2bff4b9fe3a0319d8fc8e68cb90feceb0cd8e84f7dd;GRANDE;Exportação de bens;PR;ARGENTINA;09XXX49;2002-01-09;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/METALURGIA;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;CCR / ALADI
Exportador_5;9fb5767ecea2547cedbaf2bff4b9fe3a0319d8fc8e68cb90feceb0cd8e84f7dd;GRANDE;Exportação de bens;PR;ARGENTINA;09XXX50;2002-01-09;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/METALURGIA;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;CCR / ALADI
Exportador_5;9fb5767ecea2547cedbaf2bff4b9fe3a0319d8fc8e68cb90feceb0cd8e84f7dd;GRANDE;Exportação de bens;PR;ARGENTINA;09XXX51;2002-01-09;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/METALURGIA;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;CCR / ALADI
Exportador_5;9fb5767ecea2547cedbaf2bff4b9fe3a0319d8fc8e68cb90feceb0cd8e84f7dd;GRANDE;Exportação de bens;PR;ARGENTINA;09XXX52;2002-01-09;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/METALURGIA;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;CCR / ALADI
